"Model","MAE","RMSE","MAPE","MASE","RMSSE","Selected_Final_Model"
"ARIMA",267.85,339.84,6.05,0.36,0.35,TRUE
"ETS",330.88,398.76,7.14,0.44,0.41,FALSE
"SNaive",346.92,411.21,7.8,0.47,0.42,FALSE
