"Model","MAE","RMSE","MAPE","MASE","RMSSE","Selected_Final_Model"
"SES",108.95,138,11.98,0.35,0.35,TRUE
"Base ARIMA",117.74,140.63,12.72,0.38,0.36,FALSE
"Naive",116.08,143.27,13.03,0.37,0.36,FALSE
