"Model","MAE","RMSE","MAPE","MASE","RMSSE","Reason for inclusion","Selected_Final_Model"
"ARIMA",16.77,21.9,0.85,0.19,0.21,"Original final AOV model: explicit seasonal ARIMA used for 2025 forecasting.",TRUE
"Base ARIMA",18.73,24.85,0.95,0.22,0.24,"Automatic ARIMA benchmark from the original model set.",FALSE
"ETS",25.04,31.85,1.27,0.29,0.31,"Exponential smoothing model selected automatically by ETS.",FALSE
"NNet",30.04,40.06,1.49,0.35,0.39,"Neural-network autoregression included in the original AOV script.",FALSE
"TSLM",39.59,44.24,1.99,0.46,0.43,"Trend and monthly seasonality regression benchmark.",FALSE
"SNaive",51.25,68.25,2.57,0.59,0.66,"Seasonal naive benchmark from the same monthly pattern.",FALSE
"Naive",57.03,68.93,2.84,0.66,0.66,"Simple one-step benchmark using the most recent observation.",FALSE
"SES",63.28,73.62,3.14,0.73,0.71,"Simple exponential smoothing benchmark without trend or seasonality.",FALSE
